,Location,Borough,Date Installed,geometry,B7SCList,B7SCStartingPoints,CrossStreets,NodeList,SimilarNamesList,StartingXStreets,combined_san1_boro_vol_page,combined_san2_boro_vol_page,in_boro,in_boro2,in_func_code,in_stname1,in_stname2,out_ad,out_atomic_polygon,out_boro_name1,out_cd,out_cd_eligible,out_cdta_2020,out_census_block_2020,out_census_tract_2000,out_census_tract_2010,out_census_tract_2020,out_co,out_com_dist,out_compass,out_dcp_pref_lgc1,out_dcp_pref_lgc2,out_dot_st_light_contract_area,out_error_message,out_fire_bat,out_fire_co,out_fire_co_str,out_fire_div,out_grc,out_health_area,out_health_center_dist,out_latitude,out_lion_node_num,out_longitude,out_mc,out_nta_2020,out_police_patrol_boro,out_police_pct,out_police_sector,out_reason_code,out_san_dist_section,out_san_sub_section,out_sanborn1_boro,out_sanborn1_page,out_sanborn1_vol,out_sanborn2_boro,out_sanborn2_page,out_sanborn2_vol,out_school_dist,out_sd,out_stname1,out_stname2,out_wa1_message,out_x_coord,out_y_coord,out_zip_code,AuxiliarySegmentIDList,HighB7SCList,LowB7SCList,add_from_st_code_name,add_on_st_code_name,add_to_st_code_name,dcp_preferred_from_st_code_name,dcp_preferred_to_st_code_name,in_boro3,in_compass_dir,in_stname3,out_No_Parking_lanes,out_No_Traveling_lanes,out_Total_Lanes,out_bike_lane,out_bike_traffic_direction,out_boro_name2,out_boro_name3,out_curve_flag,out_curve_flag_direction,out_dot_street_light_contract_area,out_dsny_snow_priority,out_feature_type,out_from_latitude,out_from_longitude,out_from_node,out_from_x_coord,out_from_y_coord,out_generic_id,out_grc2,out_left_nta,out_left_police_sector,out_left_side_atomic_polygon,out_left_side_blockface_id,out_left_side_boro,out_left_side_cd_eligibility,out_left_side_cdta_2020,out_left_side_census_block_2000,out_left_side_census_block_2010,out_left_side_census_block_2020,out_left_side_census_block_suffix_2020,out_left_side_census_tract_2000,out_left_side_census_tract_2010,out_left_side_census_tract_2020,out_left_side_comdist,out_left_side_comdist_boro,out_left_side_dot_street_light_contract_area,out_left_side_fire_bat,out_left_side_fire_co,out_left_side_fire_div,out_left_side_health_area,out_left_side_health_center_dist,out_left_side_hhnd,out_left_side_iaei,out_left_side_lhnd,out_left_side_nta_2020,out_left_side_police_patrol_boro,out_left_side_police_pct,out_left_side_police_sector,out_left_side_puma_code,out_left_side_school_dist,out_left_side_zip_code,out_lionkey,out_loc_status,out_on_street_b7sc_name,out_pgb_flag,out_physical_id,out_right_nta,out_right_of_way_type,out_right_police_sector,out_right_side_atomic_polygon,out_right_side_blockface_id,out_right_side_boro,out_right_side_cd_eligibility,out_right_side_cdta_2020,out_right_side_census_block_2000,out_right_side_census_block_2010,out_right_side_census_block_2020,out_right_side_census_block_suffix_2020,out_right_side_census_tract_2000,out_right_side_census_tract_2010,out_right_side_census_tract_2020,out_right_side_comdist,out_right_side_comdist_boro,out_right_side_dot_street_light_contract_area,out_right_side_fire_bat,out_right_side_fire_co,out_right_side_fire_div,out_right_side_health_area,out_right_side_health_center_dist,out_right_side_hhnd,out_right_side_iaei,out_right_side_lhnd,out_right_side_nta_2020,out_right_side_police_patrol_boro,out_right_side_police_pct,out_right_side_police_sector,out_right_side_puma_code,out_right_side_school_dist,out_right_side_zip_code,out_roadway_type,out_seg_side_atomic_polygon,out_seg_side_blockface_id,out_seg_side_boro,out_seg_side_cd_eligibility,out_seg_side_cdta_2020,out_seg_side_census_block_2000,out_seg_side_census_block_2010,out_seg_side_census_block_2020,out_seg_side_census_tract_2000,out_seg_side_census_tract_2010,out_seg_side_census_tract_2020,out_seg_side_comdist,out_seg_side_comdist_boro,out_seg_side_fire_bat,out_seg_side_fire_co,out_seg_side_fire_div,out_seg_side_health_area,out_seg_side_health_center_dist,out_seg_side_hhnd,out_seg_side_lhnd,out_seg_side_nta,out_seg_side_nta_2020,out_seg_side_police_patrol_boro,out_seg_side_police_pct,out_seg_side_puma_code,out_seg_side_school_dist,out_seg_side_zip_code,out_segment_id,out_segment_len,out_segment_type,out_sos_ind,out_speed_limit,out_stname3,out_street_width_irregular,out_street_width_max,out_street_width_min,out_to_latitude,out_to_longitude,out_to_node,out_to_x_coord,out_to_y_coord,out_traffic_direction,out_truck_route_type
799,Jamaica Avenue and Springfield Boulevard,Queens,10/11/2016,POINT (40.718502 -73.735259),,,,,"[{'b7sc': '45109001', 'streetName': 'JAMAICA AVENUE                  '}, {'b7sc': '46329001', 'streetName': 'SPRINGFIELD BOULEVARD           '}]",,4/13 /031 ,4/13 /032 ,4,4,2W,JAMAICA AVENUE                  ,SPRINGFIELD BOULEVARD           ,33,112,QUEENS   ,03,CD Eligible,QN13,1011, 564  , 564  , 564  ,23,413, ,45109001/ JAMAICA AVENUE                  ,46329001/ SPRINGFIELD BOULEVARD           ,4,                                                                                ,53,Ladder 162,Ladder 162,14,00,29.10,44,40.718502,0061443,-73.735259 ,4,QN1303,QS,105,105D, ,413/ 133,3C,4,031 ,13 ,4,032 ,13 ,29,11,JAMAICA AVENUE                  ,SPRINGFIELD BOULEVARD           ,                                                                                ,1057637,201157,11429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,Jamaica Avenue at 181st Street,Queens,6/8/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,Jamaica Avenue with 143rd Street and 144th Street,Queens,8/26/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,Jamaica Avenue with Woodhull Avenue and 188th Street,Queens,11/13/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,Juniper Boulevard South and 74th Street,Queens,2/8/2022,POINT (40.718272 -73.882628),,,,,"[{'b7sc': '41564001', 'streetName': '  74 STREET                     '}, {'b7sc': '45184001', 'streetName': 'JUNIPER BOULEVARD SOUTH         '}]",,4/20 /017 ,4/20 /016 ,4,4,2W,JUNIPER BOULEVARD SOUTH         ,74TH STREET                     ,28,104,QUEENS   ,06,Not CD Eligible,QN05,1003, 661  , 661  , 661  ,30,405, ,45184001/ JUNIPER BOULEVARD SOUTH         ,41564001/   74 STREET                     ,4,                                                                                ,46,Engine 319,Engine 319,14,00,18.22,46,40.718272,0045734,-73.882628 ,3,QN0504,QN,104,104D, ,405/ 051,1C,4,017 ,20 ,4,016 ,20 ,24,15,JUNIPER BOULEVARD SOUTH         ,  74 STREET                     ,                                                                                ,1016786,200984,11379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,Kissena Boulevard and Elder Avenue,Queens,11/29/2016,POINT (40.753173 -73.821919),,,,,"[{'b7sc': '44336001', 'streetName': 'ELDER AVENUE                    '}, {'b7sc': '45239001', 'streetName': 'KISSENA BOULEVARD               '}]",,4/11 /016 ,4/11 /015 ,4,4,2W,KISSENA BOULEVARD               ,ELDER AVENUE                    ,25,110,QUEENS   ,06,CD Eligible,QN07,4000, 797  , 797.01, 797.01,20,407, ,45239001/ KISSENA BOULEVARD               ,44336001/ ELDER AVENUE                    ,4,                                                                                ,52,Engine 273,Engine 273,14,00,12.00,43,40.753173,0055626,-73.821919 ,6,QN0707,QN,109,109A, ,407/ 071,1D,4,016 ,11 ,4,015 ,11 ,25,16,KISSENA BOULEVARD               ,ELDER AVENUE                    ,                                                                                ,1033589,213728,11355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,Kissena Boulevard and Sanford Avenue,Queens,11/28/2016,POINT (40.757144 -73.827092),,,,,"[{'b7sc': '45239001', 'streetName': 'KISSENA BOULEVARD               '}, {'b7sc': '46139001', 'streetName': 'SANFORD AVENUE                  '}]",,4/11 /007 ,4/11 /004 ,4,4,2W,KISSENA BOULEVARD               ,SANFORD AVENUE                  ,40,103,QUEENS   ,06,CD Eligible,QN07,1003, 853  , 853  , 853  ,20,407, ,45239001/ KISSENA BOULEVARD               ,46139001/ SANFORD AVENUE                  ,4,                                                                                ,52,Engine 273,Engine 273,14,00,12.00,43,40.757144,0055579,-73.827092 ,6,QN0707,QN,109,109B, ,407/ 071,1C,4,007 ,11 ,4,004 ,11 ,25,16,KISSENA BOULEVARD               ,SANFORD AVENUE                  ,                                                                                ,1032153,215172,11355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,Laurelton Parkway and 133rd Avenue,Queens,1/10/2022,POINT (40.675463 -73.73384),,,,,"[{'b7sc': '42209001', 'streetName': ' 133 AVENUE                     '}, {'b7sc': '46302005', 'streetName': 'LAURELTON PARKWAY               '}, {'b7sc': '41173501', 'streetName': 'BELT PARKWAY WB EN  133 AVE     '}]",,4/14 /065 ,,4,4,2W,LAURELTON PARKWAY               ,133RD AVENUE                    ,29,202,QUEENS   ,05,Not CD Eligible,QN13,2000, 616.02, 616.02, 616.02,31,413, ,46302005/ LAURELTON PARKWAY               ,42209001/  133 AVENUE                     ,4,                                                                                ,54,Engine 314,Engine 314,13,00,35.31,44,40.675463,0039439,-73.733840 ,4,QN1307,QS,105,105B, ,413/ 136,6C,4,065 ,14 , ,    ,   ,29,14,LAURELTON PARKWAY               , 133 AVENUE                     ,                                                                                ,1058078,185478,11422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,Liberty Avenue and 102nd Street,Queens,6/30/2021,POINT (40.681439 -73.838649),,,,,"[{'b7sc': '41954001', 'streetName': ' 102 STREET                     '}, {'b7sc': '45379001', 'streetName': 'LIBERTY AVENUE                  '}, {'b7sc': '45790001', 'streetName': 'NYCTA SUBWAY                    '}]",,4/04 /065 ,4/04 /058 ,4,4,2W,LIBERTY AVENUE                  ,102ND STREET                    ,38,206,QUEENS   ,05,CD Eligible,QN10,1003,  94  ,  94  ,  94  ,32,410, ,45379001/ LIBERTY AVENUE                  ,41954001/  102 STREET                     ,4,                                                                                ,51,Engine 308,Engine 308,13,00,31.00,45,40.681439,0032090,-73.838649 ,3,QN1001,QS,106,106C, ,410/ 101,1E,4,065 ,04 ,4,058 ,04 ,27,15,LIBERTY AVENUE                  , 102 STREET                     ,                                                                                ,1029002,187584,11417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,Liberty Avenue and 127th Street,Queens,7/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,Liberty Avenue and 80th Street S/B,Queens,6/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,Liberty Avenue at 148th Street,Queens,6/1/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,Linden Boulevard and 115th Street,Queens,7/15/2021,POINT (40.677799 -73.82384),,,,,"[{'b7sc': '42084001', 'streetName': ' 115 STREET                     '}, {'b7sc': '45389001', 'streetName': 'LINDEN BOULEVARD                '}]",,4/04 /075 ,4/14 /004 ,4,4,2W,LINDEN BOULEVARD                ,115TH STREET                    ,31,104,QUEENS   ,05,CD Eligible,QN10,2003, 102  , 102  , 102  ,28,410, ,45389001/ LINDEN BOULEVARD                ,42084001/  115 STREET                     ,4,                                                                                ,51,Engine 308,Engine 308,13,00,31.00,45,40.677799,0033869,-73.823840 ,3,QN1001,QS,106,106B, ,410/ 102,2D,4,075 ,04 ,4,004 ,14 ,27,15,LINDEN BOULEVARD                , 115 STREET                     ,                                                                                ,1033112,186266,11420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,Linden Boulevard and 118th Street,Queens,4/28/2022,POINT (40.678504 -73.821361),,,,,"[{'b7sc': '42114001', 'streetName': ' 118 STREET                     '}, {'b7sc': '45389001', 'streetName': 'LINDEN BOULEVARD                '}]",,4/04 /076 ,,4,4,2W,LINDEN BOULEVARD                ,118TH STREET                    ,31,106,QUEENS   ,05,CD Eligible,QN10,2005, 102  , 102  , 102  ,28,410, ,45389001/ LINDEN BOULEVARD                ,42114001/  118 STREET                     ,4,                                                                                ,51,Engine 308,Engine 308,13,00,31.00,45,40.678504,0033873,-73.821361 ,3,QN1001,QS,106,106B, ,410/ 102,2D,4,076 ,04 , ,    ,   ,27,10,LINDEN BOULEVARD                , 118 STREET                     ,                                                                                ,1033799,186524,11420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,Linden Boulevard and 128th Street,Queens,1/7/2021,POINT (40.681007 -73.812561),,,,,"[{'b7sc': '42179001', 'streetName': ' 128 STREET                     '}, {'b7sc': '45389001', 'streetName': 'LINDEN BOULEVARD                '}]",,4/15 /016 ,,4,4,2W,LINDEN BOULEVARD                ,128TH STREET                    ,31,202,QUEENS   ,05,Not CD Eligible,QN10,1001, 172  , 172  , 172  ,28,410, ,45389001/ LINDEN BOULEVARD                ,42179001/  128 STREET                     ,4,                                                                                ,50,Ladder 126,Ladder 126,13,00,32.20,45,40.681007,0034107,-73.812561 ,3,QN1001,QS,106,106D, ,410/ 103,3E,4,016 ,15 , ,    ,   ,28,10,LINDEN BOULEVARD                , 128 STREET                     ,                                                                                ,1036238,187441,11420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,Linden Boulevard with Lincoln Street and 134th Street,Queens,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,Little Neck Parkway and 254th Street,Queens,2/18/2022,POINT (40.754559 -73.723187),,,,,"[{'b7sc': '42725801', 'streetName': ' 254 STREET                     '}, {'b7sc': '45412001', 'streetName': 'LITTLE NECK PARKWAY             '}, {'b7sc': '44739001', 'streetName': 'GRAND CENTRAL PARKWAY           '}]",,4/22 /065S,4/22 /062 ,4,4,2W,LITTLE NECK PARKWAY             ,254TH STREET                    ,26,110,QUEENS   ,03,Not CD Eligible,QN11,2003,1551.01,1529.02,1529.02,23,411, ,45412001/ LITTLE NECK PARKWAY             ,42725801/  254 STREET                     ,4,                                                                                ,53,Ladder 160,Ladder 160,14,00,21.50,43,40.754559,0062916,-73.723187 ,6,QN1103,QN,111,111B, ,411/ 115,5E,4,065S,22 ,4,062 ,22 ,26,11,LITTLE NECK PARKWAY             , 254 STREET                     ,                                                                                ,1060942,214304,11362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,Little Neck Parkway and 86th Avenue,Queens,8/2/2011,POINT (40.732501 -73.71148),,,,,"[{'b7sc': '41739001', 'streetName': '  86 AVENUE                     '}, {'b7sc': '45412001', 'streetName': 'LITTLE NECK PARKWAY             '}]",,4/22 /049 ,4/22 /050 ,4,4,2W,LITTLE NECK PARKWAY             ,86TH AVENUE                     ,33,901,QUEENS   ,03,Not CD Eligible,QN13,8013,1571.01,1571.01,1571.01,23,413, ,45412001/ LITTLE NECK PARKWAY             ,41739001/   86 AVENUE                     ,4,                                                                                ,53,Engine 251,Engine 251,14,00,21.60,43,40.732501,0062806,-73.711480 ,4,QN1302,QS,105,105E, ,413/ 131,1E,4,049 ,22 ,4,050 ,22 ,26,11,LITTLE NECK PARKWAY             ,  86 AVENUE                     ,                                                                                ,1064212,206278,11426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,Long Island Expressway North Service Road at 99th Street,Queens,1/13/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Main Street and 41st Road,Queens,12/5/2016,POINT (40.757524 -73.829134),,,,,"[{'b7sc': '40959001', 'streetName': '  41 ROAD                       '}, {'b7sc': '45458001', 'streetName': 'MAIN STREET                     '}, {'b7sc': '41713001', 'streetName': '  84 ROAD                       '}]",,4/11 /006 ,4/11 /004 ,4,4,2W,MAIN STREET                     ,41ST ROAD                       ,40,101,QUEENS   ,06,CD Eligible,QN07,1000, 851  , 849  , 849.02,20,407, ,45458001/ MAIN STREET                     ,40959001/   41 ROAD                       ,4,                                                                                ,52,Ladder 129,Ladder 129,14,00,12.00,43,40.757524,0055510,-73.829134 ,6,QN0707,QN,109,109B, ,407/ 071,1C,4,006 ,11 ,4,004 ,11 ,25,16,MAIN STREET                     ,  41 ROAD                       ,                                                                                ,1031587,215309,11355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,Main Street and 58th Road,Queens,12/3/2020,POINT (40.744577 -73.825807),,,,,"[{'b7sc': '41214002', 'streetName': '  58 ROAD                       '}, {'b7sc': '45458001', 'streetName': 'MAIN STREET                     '}]",,4/11 /024 ,,4,4,2W,MAIN STREET                     ,58TH ROAD                       ,25,111,QUEENS   ,06,CD Eligible,QN07,1011, 799  , 799  , 799  ,20,407, ,45458001/ MAIN STREET                     ,41214002/   58 ROAD                       ,4,                                                                                ,52,Engine 299,Engine 299,14,00,20.12,43,40.744577,0055549,-73.825807 ,6,QN0706,QN,109,109A, ,407/ 072,2C,4,024 ,11 , ,    ,   ,25,16,MAIN STREET                     ,  58 ROAD                       ,                                                                                ,1032518,210594,11355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,Main Street and Northern Boulevard,Queens,11/23/2016,POINT (40.762954 -73.831957),,,,,"[{'b7sc': '45458001', 'streetName': 'MAIN STREET                     '}, {'b7sc': '45779001', 'streetName': 'NORTHERN BOULEVARD              '}]",,4/11 /002 ,4/05 /002 ,4,4,2W,MAIN STREET                     ,NORTHERN BOULEVARD              ,40,112,QUEENS   ,06,Not CD Eligible,QN07,1011, 867  , 869  , 869  ,20,407, ,45458001/ MAIN STREET                     ,45779001/ NORTHERN BOULEVARD              ,4,                                                                                ,52,Engine 273,Engine 273,14,00,12.00,43,40.762954,0055443,-73.831957 ,6,QN0707,QN,109,109B, ,407/ 073,3E,4,002 ,11 ,4,002 ,05 ,25,16,MAIN STREET                     ,NORTHERN BOULEVARD              ,                                                                                ,1030801,217286,11354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,Main Street and Pedestrian Crossing between 63rd Avenue & Gravett Road (mid-block),Queens,2/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,Marathon Parkway and 57th Avenue,Queens,5/2/2012,POINT (40.759626 -73.731389),,,,,"[{'b7sc': '41184001', 'streetName': '  57 AVENUE                     '}, {'b7sc': '45480001', 'streetName': 'MARATHON PARKWAY                '}]",,4/22 /065R,4/22 /065T,4,4,2W,MARATHON PARKWAY                ,57TH AVENUE                     ,26,101,QUEENS   ,03,Not CD Eligible,QN11,3001,1529.01,1529.01,1529.01,23,411, ,45480001/ MARATHON PARKWAY                ,41184001/   57 AVENUE                     ,4,                                                                                ,53,Ladder 160,Ladder 160,14,00,21.50,43,40.759626,0062239,-73.731389 ,6,QN1103,QN,111,111B, ,411/ 115,5E,4,065R,22 ,4,065T,22 ,26,11,MARATHON PARKWAY                ,  57 AVENUE                     ,                                                                                ,1058664,216143,11362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,Maurice Avenue and 66th Street,Queens,5/16/2020,POINT (40.735148 -73.899024),,,,,"[{'b7sc': '41394002', 'streetName': '  66 STREET                     '}, {'b7sc': '45509001', 'streetName': 'MAURICE AVENUE                  '}]",,4/09 /045 ,,4,4,2W,MAURICE AVENUE                  ,66TH STREET                     ,30,207,QUEENS   ,06,CD Eligible,QN02,3009, 243  , 243  , 243  ,30,402, ,45509001/ MAURICE AVENUE                  ,41394002/   66 STREET                     ,4,                                                                                ,46,Squad 288,Squad 288,14,00,09.20,41,40.735148,0045363,-73.899024 ,3,QN0203,QN,108,108D, ,405/ 055,5E,4,045 ,09 , ,    ,   ,24,12,MAURICE AVENUE                  ,  66 STREET                     ,                                                                                ,1012234,207127,11377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,Maurice Avenue and 68th Street,Queens,2/24/2021,POINT (40.735086 -73.896913),,,,,"[{'b7sc': '41444001', 'streetName': '  68 STREET                     '}, {'b7sc': '45509001', 'streetName': 'MAURICE AVENUE                  '}]",,4/09 /045 ,4/09 /046 ,4,4,2W,MAURICE AVENUE                  ,68TH STREET                     ,30,203,QUEENS   ,06,CD Eligible,QN02,3011, 243  , 243  , 243  ,30,402, ,45509001/ MAURICE AVENUE                  ,41444001/   68 STREET                     ,4,                                                                                ,46,Squad 288,Squad 288,14,00,09.20,41,40.735086,0045369,-73.896913 ,2,QN0203,QN,108,108D, ,405/ 055,5E,4,045 ,09 ,4,046 ,09 ,24,12,MAURICE AVENUE                  ,  68 STREET                     ,                                                                                ,1012819,207105,11377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,Merrick Boulevard and 108th Avenue,Queens,7/26/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
